名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
南汇嘴观海公园,交通设施,公交站,121.971778,30.882131,上海市,上海市,浦东新区,121.96760637535644,30.884434796344625,Transport
葵园,交通设施,公交站,121.887884,30.97938,上海市,上海市,浦东新区,121.88378722764791,30.981726475789717,Transport
通源路南滨支路,交通设施,公交站,121.88868,31.005588,上海市,上海市,浦东新区,121.8845819294414,31.007919332116494,Transport
公厕,生活服务,公厕,121.888008,31.006282,上海市,上海市,浦东新区,121.88390917049136,31.008612540531168,Toilet
二号桥,交通设施,公交站,121.776039,31.339435,上海市,上海市,崇明区,121.77167632515037,31.34143120938926,Transport
江南大道兴略路,交通设施,公交站,121.780442,31.332681,上海市,上海市,崇明区,121.77608660343516,31.33468405302508,Transport
江南大道江堤路,交通设施,公交站,121.788415,31.327746,上海市,上海市,崇明区,121.78407395208691,31.329760405765715,Transport
江南大道仁建路,交通设施,公交站,121.766087,31.345772,上海市,上海市,崇明区,121.76171146610808,31.347758382336185,Transport
潘圆公路合作路,交通设施,公交站,121.776096,31.3468,上海市,上海市,崇明区,121.77173278270118,31.348793702223094,Transport
江南大道潘圆公路,交通设施,公交站,121.775944,31.335943,上海市,上海市,崇明区,121.7715814847032,31.337940356459796,Transport
潘圆公路圆东二路,交通设施,公交站,121.777622,31.343861,上海市,上海市,崇明区,121.77326127601036,31.345857187182123,Transport
丁丰村十队,交通设施,公交站,121.772255,31.341848,上海市,上海市,崇明区,121.76788695939746,31.343840060342515,Transport
公厕,生活服务,公厕,121.788929,31.346661,上海市,上海市,崇明区,121.78458732458616,31.34866938041313,Toilet
元沙社区卫生服务站,医疗保健,综合医院,121.778153,31.341165,上海市,上海市,崇明区,121.77379330639197,31.343162656029,Medical_Service
长兴镇圆东村卫生院,医疗保健,诊所,121.778443,31.341585,上海市,上海市,崇明区,121.77408371324208,31.34358280226903,Medical_Service
陈南六队,交通设施,公交站,121.796088,31.488982,上海市,上海市,崇明区,121.79174865780682,31.49096396644692,Transport
陈南地道,交通设施,公交站,121.787896,31.492764,上海市,上海市,崇明区,121.78353998408414,31.494733802888423,Transport
陈家镇水厂,交通设施,公交站,121.797098,31.478913,上海市,上海市,崇明区,121.79276166311368,31.48089826054108,Transport
凯悦金茂酒店,交通设施,公交站,121.801189,31.467017,上海市,上海市,崇明区,121.79686265261702,31.46901095555248,Transport
滧南七队,交通设施,公交站,121.742584,31.490677,上海市,上海市,崇明区,121.73818402275792,31.492622705339013,Transport
滧南三队,交通设施,公交站,121.750719,31.486503,上海市,上海市,崇明区,121.74632077795935,31.48844824590021,Transport
十号桥,交通设施,公交站,121.743105,31.495502,上海市,上海市,崇明区,121.7387046110448,31.497446769331876,Transport
滧中三队,交通设施,公交站,121.754951,31.489318,上海市,上海市,崇明区,121.75055443970712,31.491263162894825,Transport
滧中九队,交通设施,公交站,121.757945,31.493262,上海市,上海市,崇明区,121.75354993252664,31.49520720186081,Transport
陈家镇粮站,交通设施,公交站,121.806445,31.491075,上海市,上海市,崇明区,121.80212872664988,31.493073381968355,Transport
铁塔,交通设施,公交站,121.803158,31.486739,上海市,上海市,崇明区,121.79883444855932,31.488732564644973,Transport
北陈公路揽海路,交通设施,公交站,121.792383,31.472785,上海市,上海市,崇明区,121.78803738800534,31.47476442622343,Transport
北陈公路瀛陈公路,交通设施,公交站,121.803056,31.486566,上海市,上海市,崇明区,121.79873222964956,31.48855942521859,Transport
陈家镇社区卫生中心八滧村中心卫生室,医疗保健,诊所,121.766848,31.484025,上海市,上海市,崇明区,121.76246149336642,31.48597579527827,Medical_Service
招呼站,交通设施,公交站,121.608882,31.431222,上海市,上海市,崇明区,121.60466328146332,31.433364584793136,Transport
石沙村七队,交通设施,公交站,121.583128,31.439841,上海市,上海市,崇明区,121.57890081842925,31.44197959853651,Transport
石沙村一队,交通设施,公交站,121.59864,31.43632,上海市,上海市,崇明区,121.59442176229648,31.43846410145145,Transport
创建水闸,交通设施,公交站,121.613439,31.428986,上海市,上海市,崇明区,121.60921846749324,31.431126505884,Transport
石沙村,交通设施,公交站,121.591807,31.437893,上海市,上海市,崇明区,121.58758633968974,31.440036006411216,Transport
潘圆公路创中路,交通设施,公交站,121.619467,31.426819,上海市,上海市,崇明区,121.61524258505072,31.428955320872376,Transport
潘圆公路创新路,交通设施,公交站,121.626187,31.424323,上海市,上海市,崇明区,121.6219564917719,31.426453117978674,Transport
潘圆公路青草沙路,交通设施,公交站,121.605258,31.434381,上海市,上海市,崇明区,121.60103991890732,31.43652430622377,Transport
潘圆公路创建路,交通设施,公交站,121.609104,31.431176,上海市,上海市,崇明区,121.60488521000022,31.43331848772117,Transport
长兴镇创建村卫生院,医疗保健,诊所,121.621984,31.42996,上海市,上海市,崇明区,121.61775717309057,31.43209318364072,Medical_Service
长兴镇建新村卫生院,医疗保健,诊所,121.634519,31.425212,上海市,上海市,崇明区,121.63027828179332,31.427331383099144,Medical_Service
长兴镇石沙村卫生院,医疗保健,诊所,121.590584,31.438428,上海市,上海市,崇明区,121.58636263390233,31.440570531107067,Medical_Service
招呼站,交通设施,公交站,121.565625,31.568069,上海市,上海市,崇明区,121.56136252343572,31.57017016733933,Transport
新东河路,交通设施,公交站,121.538964,31.564815,上海市,上海市,崇明区,121.53463693763328,31.566864388050817,Transport
新东路,交通设施,公交站,121.538554,31.561394,上海市,上海市,崇明区,121.53422601116536,31.56344265214352,Transport
朱杨弄,交通设施,公交站,121.560582,31.57038,上海市,上海市,崇明区,121.55630943673448,31.572473268622005,Transport
竖河镇敬老院,交通设施,公交站,121.565727,31.568064,上海市,上海市,崇明区,121.56146471140389,31.57016531324657,Transport
公厕,生活服务,公厕,121.534464,31.568444,上海市,上海市,崇明区,121.5301229828554,31.570481963501557,Toilet
竖新镇油桥村中心卫生院,医疗保健,诊所,121.566632,31.551046,上海市,上海市,崇明区,121.56237278216445,31.55314994014763,Medical_Service
民星小店,交通设施,公交站,121.833745,31.368919,上海市,上海市,崇明区,121.8295077095254,31.37099741974661,Transport
民星六路,交通设施,公交站,121.835076,31.358199,上海市,上海市,崇明区,121.83084301174556,31.3602833953313,Transport
江海七队,交通设施,公交站,121.817465,31.371564,上海市,上海市,崇明区,121.8131857856892,31.373610878264746,Transport
富民,交通设施,公交站,121.812136,31.371064,上海市,上海市,崇明区,121.80784356499038,31.37310129968902,Transport
民生一路,交通设施,公交站,121.812565,31.34973,上海市,上海市,崇明区,121.80827541329568,31.3517750588871,Transport
招呼站,交通设施,公交站,121.830635,31.37261,上海市,上海市,崇明区,121.82638941103474,31.374681376907244,Transport
招呼站,交通设施,公交站,121.83504,31.358629,上海市,上海市,崇明区,121.83080688383062,31.36071318586036,Transport
江海村,交通设施,公交站,121.825457,31.372275,上海市,上海市,崇明区,121.82119810817724,31.374336662049,Transport
民星村,交通设施,公交站,121.834491,31.36324,上海市,上海市,崇明区,121.83025609464676,31.36532164642628,Transport
富民村,交通设施,公交站,121.812367,31.371048,上海市,上海市,崇明区,121.80807513353984,31.373085720314137,Transport
红星村,交通设施,公交站,121.835996,31.353158,上海市,上海市,崇明区,121.83176578098296,31.35524580000228,Transport
红星村,交通设施,公交站,121.836008,31.352854,上海市,上海市,崇明区,121.83177783695233,31.35494192469315,Transport
打捞局,交通设施,公交站,121.810857,31.357461,上海市,上海市,崇明区,121.80656258380138,31.359500403728163,Transport
殡仪馆,交通设施,公交站,121.830781,31.372578,上海市,上海市,崇明区,121.82653578944104,31.374649663548773,Transport
民星村,交通设施,公交站,121.834494,31.363254,上海市,上海市,崇明区,121.83025910115416,31.36533564753148,Transport
红星村,交通设施,公交站,121.836091,31.352844,上海市,上海市,崇明区,121.83186104935808,31.35493208346744,Transport
江海村,交通设施,公交站,121.825078,31.372239,上海市,上海市,崇明区,121.82081813687869,31.37429995547128,Transport
富民村,交通设施,公交站,121.811433,31.370983,上海市,上海市,崇明区,121.80713885050965,31.373019064523305,Transport
江海七队,交通设施,公交站,121.817438,31.371518,上海市,上海市,崇明区,121.81315872152544,31.373564842702013,Transport
民星六路,交通设施,公交站,121.835097,31.358217,上海市,上海市,崇明区,121.83086406390672,31.360301428828997,Transport
民星小店,交通设施,公交站,121.833776,31.368914,上海市,上海市,崇明区,121.82953878939468,31.370992479760336,Transport
公厕,生活服务,公厕,121.812039,31.370989,上海市,上海市,崇明区,121.80774633335857,31.3730261489908,Toilet
横沙民主中心卫生院,医疗保健,诊所,121.861775,31.35476,上海市,上海市,崇明区,121.8576054934291,31.35689123770564,Medical_Service
横沙红星村中心卫生院,医疗保健,诊所,121.829484,31.354402,上海市,上海市,崇明区,121.82523697135171,31.356477091477167,Medical_Service
富民村中心卫生院,医疗保健,诊所,121.812173,31.370938,上海市,上海市,崇明区,121.80788066639136,31.372975405891637,Medical_Service
公厕,生活服务,公厕,121.950666,31.492579,上海市,上海市,崇明区,121.94649515475706,31.494654147202603,Toilet
立新村,交通设施,公交站,121.887908,31.523501,上海市,上海市,崇明区,121.8837665590634,31.52562076622577,Transport
农业园区,交通设施,公交站,121.808056,31.593146,上海市,上海市,崇明区,121.80373489859022,31.595136787157337,Transport
招呼站,交通设施,公交站,121.57498,31.648871,上海市,上海市,崇明区,121.5707258044964,31.650981923819423,Transport
前进刀具厂,交通设施,公交站,121.572826,31.652244,上海市,上海市,崇明区,121.5685684365141,31.654352713698337,Transport
前进粮油站,交通设施,公交站,121.582671,31.645692,上海市,上海市,崇明区,121.57842614876434,31.64780936643269,Transport
培训队,交通设施,公交站,121.574992,31.648735,上海市,上海市,崇明区,121.57073783245735,31.65084593266064,Transport
前柴路阿里山路,交通设施,公交站,121.601678,31.645786,上海市,上海市,崇明区,121.59744251554564,31.647908013299094,Transport
钱财公路阿里山路,交通设施,公交站,121.601703,31.645673,上海市,上海市,崇明区,121.5974675253102,31.647795006394297,Transport
公厕,生活服务,公厕,121.511796,31.723483,上海市,上海市,崇明区,121.50736514573391,31.72546083753968,Toilet
公厕,生活服务,公厕,121.510839,31.722482,上海市,上海市,崇明区,121.50640480278916,31.724456891270123,Toilet
公厕,生活服务,公厕,121.500871,31.720071,上海市,上海市,崇明区,121.49640093525215,31.722015656611298,Toilet
公厕,生活服务,公厕,121.509887,31.720281,上海市,上海市,崇明区,121.50544957260036,31.722252834149856,Toilet
公厕,生活服务,公厕,121.504224,31.719924,上海市,上海市,崇明区,121.4997661287424,31.721878781527057,Toilet
公厕,生活服务,公厕,121.517752,31.720232,上海市,上海市,崇明区,121.51334252006768,31.722226992768636,Toilet
前卫生态村-公厕,生活服务,公厕,121.512269,31.725155,上海市,上海市,崇明区,121.50783969321192,31.72713441100358,Toilet
前卫生态村-公厕,生活服务,公厕,121.507736,31.721395,上海市,上海市,崇明区,121.50329072242674,31.723360503211037,Toilet
庙港村,交通设施,公交站,121.308183,31.686326,上海市,上海市,崇明区,121.3036449872705,31.688210420429467,Transport
南新镇,交通设施,公交站,121.31151,31.690087,上海市,上海市,崇明区,121.30696449460692,31.6919656918078,Transport
嘉禾八队,交通设施,公交站,121.330936,31.715193,上海市,上海市,崇明区,121.32634440033767,31.717036888055716,Transport
嘉禾南桥,交通设施,公交站,121.327273,31.709804,上海市,上海市,崇明区,121.3226902556582,31.711654456170283,Transport
窑南桥,交通设施,公交站,121.320896,31.701668,上海市,上海市,崇明区,121.31632853592367,31.70353001268684,Transport
丁棚镇,交通设施,公交站,121.316454,31.696219,上海市,上海市,崇明区,121.31189703447528,31.698088993026428,Transport
番瓜镇,交通设施,公交站,121.323859,31.705344,上海市,上海市,崇明区,121.31928446046126,31.707200642729685,Transport
爱民村,交通设施,公交站,121.316911,31.709211,上海市,上海市,崇明区,121.312351877765,31.71108119390844,Transport
庙港桥,交通设施,公交站,121.306386,31.714236,上海市,上海市,崇明区,121.30184935517592,31.71612578779413,Transport
沈镇村,交通设施,公交站,121.299675,31.717836,上海市,上海市,崇明区,121.29515165844552,31.719737435339308,Transport
山塘村,交通设施,公交站,121.164958,30.776694,上海市,上海市,金山区,121.16045853090743,30.778878596586488,Transport
山洪河桥,交通设施,公交站,121.170852,30.777441,上海市,上海市,金山区,121.166364409336,30.77963633489349,Transport
廊下生态园,交通设施,公交站,121.156341,30.787593,上海市,上海市,金山区,121.15182362058904,30.789755751073013,Transport
山塘村,交通设施,公交站,121.164999,30.776679,上海市,上海市,金山区,121.160499614654,30.77886368176305,Transport
廊下新天地,交通设施,公交站,121.156347,30.787554,上海市,上海市,金山区,121.1518296354092,30.78971678327125,Transport
新天地,交通设施,公交站,121.157712,30.787414,上海市,上海市,金山区,121.15319728208704,30.78957933133136,Transport
水产园,交通设施,公交站,121.164355,30.787183,上海市,上海市,金山区,121.1598534344448,30.789360746709622,Transport
农家乐,交通设施,公交站,121.150191,30.787852,上海市,上海市,金山区,121.1456620948346,30.79000378767509,Transport
梅家宅,交通设施,公交站,121.171319,30.787014,上海市,上海市,金山区,121.16683155375148,30.78920500096616,Transport
廊下农家乐,交通设施,公交站,121.150536,30.786778,上海市,上海市,金山区,121.14600781304884,30.78893096807106,Transport
朝阳河桥,交通设施,公交站,121.159791,30.77779,上海市,上海市,金山区,121.15528115441424,30.77996438476663,Transport
丁家阳桥,交通设施,公交站,121.152178,30.780115,上海市,上海市,金山区,121.1476533936308,30.78227444873177,Transport
南长浜,交通设施,公交站,121.145151,30.782192,上海市,上海市,金山区,121.14061369775312,30.784338486333866,Transport
六里塘大桥,交通设施,公交站,121.138129,30.785477,上海市,上海市,金山区,121.13358009765548,30.7876108916922,Transport
廊下新天地,交通设施,公交站,121.156283,30.787628,上海市,上海市,金山区,121.1517655062596,30.789790627370884,Transport
公厕,生活服务,公厕,121.157595,30.786802,上海市,上海市,金山区,121.15308010695418,30.78896745407113,Toilet
廊下镇山塘村卫生院,医疗保健,诊所,121.164036,30.775999,上海市,上海市,金山区,121.15953473776804,30.77818224316477,Medical_Service
南陆村,交通设施,公交站,121.161409,30.79705,上海市,上海市,金山区,121.15690072207964,30.7992168156948,Transport
庄家站,交通设施,公交站,121.17451,30.812502,上海市,上海市,金山区,121.17002690365554,30.814684913337736,Transport
陆泾河桥,交通设施,公交站,121.137261,30.814022,上海市,上海市,金山区,121.13270837179807,30.816138803754686,Transport
吴泾浜,交通设施,公交站,121.13885,30.818546,上海市,上海市,金山区,121.13429939077204,30.82066256284155,Transport
洋巷寺,交通设施,公交站,121.166171,30.810605,上海市,上海市,金山区,121.16167111535924,30.81277317683241,Transport
阮家埭,交通设施,公交站,121.152873,30.810341,上海市,上海市,金山区,121.1483471281729,30.812484968272333,Transport
中华村,交通设施,公交站,121.145099,30.789645,上海市,上海市,金山区,121.14056097781832,30.79178732271807,Transport
