POPID,pop_loc,population,Elderly_pe,accessibility_score,Lon,Lat,geometry_type,x,y,geometry_coordinates
0,"121.541609,31.308533",225.80835,0.16627,0.5994493950623293,121.541609,31.308533,Point,121.541609,31.308533,"[121.541609, 31.308533]"
1,"121.542507,31.308533",262.68393,0.16627,0.7690351631509328,121.542507,31.308533,Point,121.542507,31.308533,"[121.542507, 31.308533]"
2,"121.538016,31.307635",253.78505,0.16627,0.20671987534192673,121.538016,31.307635,Point,121.538016,31.307635,"[121.538016, 31.307635]"
3,"121.538914,31.307635",177.58237,0.16627,0.40075334395197715,121.538914,31.307635,Point,121.538914,31.307635,"[121.538914, 31.307635]"
4,"121.539812,31.307635",131.85278,0.16627,0.5558641335919705,121.539812,31.307635,Point,121.539812,31.307635,"[121.539812, 31.307635]"
5,"121.54071,31.307635",225.25334,0.16627,0.6314045463103755,121.54071,31.307635,Point,121.54071,31.307635,"[121.54071, 31.307635]"
6,"121.541609,31.307635",181.20631,0.16627,0.7059398170233525,121.541609,31.307635,Point,121.541609,31.307635,"[121.541609, 31.307635]"
7,"121.542507,31.307635",332.97556,0.16627,0.7586627960010028,121.542507,31.307635,Point,121.542507,31.307635,"[121.542507, 31.307635]"
8,"121.535321,31.306737",303.95187,0.16627,0.16161241244617758,121.535321,31.306737,Point,121.535321,31.306737,"[121.535321, 31.306737]"
9,"121.536219,31.306737",284.58237,0.16627,0.2350232000069895,121.536219,31.306737,Point,121.536219,31.306737,"[121.536219, 31.306737]"
10,"121.537117,31.306737",167.4534,0.16627,0.3217783623375581,121.537117,31.306737,Point,121.537117,31.306737,"[121.537117, 31.306737]"
11,"121.538016,31.306737",272.59702,0.16627,0.3883854821790027,121.538016,31.306737,Point,121.538016,31.306737,"[121.538016, 31.306737]"
12,"121.538914,31.306737",240.87962,0.16627,0.4648504130419425,121.538914,31.306737,Point,121.538914,31.306737,"[121.538914, 31.306737]"
13,"121.539812,31.306737",214.14827,0.16627,0.4518495647153774,121.539812,31.306737,Point,121.539812,31.306737,"[121.539812, 31.306737]"
14,"121.54071,31.306737",166.77972,0.16627,0.5855811566521594,121.54071,31.306737,Point,121.54071,31.306737,"[121.54071, 31.306737]"
15,"121.541609,31.306737",235.16927,0.16627,0.5237917292399794,121.541609,31.306737,Point,121.541609,31.306737,"[121.541609, 31.306737]"
16,"121.542507,31.306737",341.61398,0.16627,0.6863750403246331,121.542507,31.306737,Point,121.542507,31.306737,"[121.542507, 31.306737]"
17,"121.531727,31.305838",202.10797,0.16627,0.4827387073551904,121.531727,31.305838,Point,121.531727,31.305838,"[121.531727, 31.305838]"
18,"121.532626,31.305838",260.16953,0.16627,0.3629069765472467,121.532626,31.305838,Point,121.532626,31.305838,"[121.532626, 31.305838]"
19,"121.533524,31.305838",262.47726,0.16627,0.33799243898628073,121.533524,31.305838,Point,121.533524,31.305838,"[121.533524, 31.305838]"
20,"121.534422,31.305838",252.04689,0.16627,0.308963911061412,121.534422,31.305838,Point,121.534422,31.305838,"[121.534422, 31.305838]"
