名称,大类,中类,经度,纬度,省份,地级市,区县,lon_wgs,lat_wgs,category_group
嫩江码头,交通设施,公交站,121.557992,31.315649,上海市,上海市,杨浦区,121.55373523402824,31.317795160572523,Transport
民星路虬江码头路,交通设施,公交站,121.5535,31.311552,上海市,上海市,杨浦区,121.54923327418491,31.313691487252303,Transport
公厕,生活服务,公厕,121.556018,31.315343,上海市,上海市,杨浦区,121.55175684206634,31.3174857551074,Toilet
公厕,生活服务,公厕,121.552182,31.316011,上海市,上海市,杨浦区,121.547911712841,31.318146226811415,Toilet
公厕,生活服务,公厕,121.554659,31.31897,上海市,上海市,杨浦区,121.55039439777306,31.3211088749758,Toilet
共青国家森林湿地公园-公共厕所,生活服务,公厕,121.557255,31.318288,上海市,上海市,杨浦区,121.55299638502964,31.320431868592383,Toilet
共青国家森林湿地公园-公共厕所,生活服务,公厕,121.556983,31.313741,上海市,上海市,杨浦区,121.55272415694132,31.31588610427162,Toilet
景联路,交通设施,地铁,121.454496,31.101412,上海市,上海市,徐汇区,121.44992716385526,31.103386030402906,Transport
龙吴路景联路,交通设施,公交站,121.454199,31.10246,上海市,上海市,徐汇区,121.44962929802924,31.104432790705083,Transport
关港,交通设施,公交站,121.454183,31.10243,上海市,上海市,徐汇区,121.44961325892892,31.104402772297917,Transport
龙吴路景联路,交通设施,公交站,121.454396,31.101852,上海市,上海市,徐汇区,121.44982686443632,31.103825563911112,Transport
华泾,交通设施,地铁,121.440456,31.112718,上海市,上海市,徐汇区,121.43585366782644,31.11465832574328,Transport
华泾西,交通设施,地铁,121.440107,31.113457,上海市,上海市,徐汇区,121.43550390982207,31.115396332610175,Transport
华泾西地铁站1号口,交通设施,地铁,121.440173,31.114029,上海市,上海市,徐汇区,121.435569991192,31.11596812693181,Transport
华泾西地铁站4号口,交通设施,地铁,121.439914,31.113174,上海市,上海市,徐汇区,121.4353105529382,31.115113167713783,Transport
华泾西地铁站2号口,交通设施,地铁,121.440955,31.113107,上海市,上海市,徐汇区,121.43635363675632,31.11504795538665,Transport
朱梅路地铁站,交通设施,公交站,121.438192,31.123271,上海市,上海市,徐汇区,121.43358435651764,31.125201818809103,Transport
景洪路华泾路,交通设施,公交站,121.439884,31.114991,上海市,上海市,徐汇区,121.43528033672816,31.116929114837603,Transport
老沪闵路华泾路,交通设施,公交站,121.437433,31.115994,上海市,上海市,徐汇区,121.43282456707968,31.117927618074464,Transport
华泾路老沪闵路,交通设施,公交站,121.440651,31.116813,上海市,上海市,徐汇区,121.43604870420174,31.11875139555048,Transport
友乐路迎宾一路,交通设施,公交站,121.353639,31.192446,上海市,上海市,长宁区,121.34904385828946,31.194357432623217,Transport
公厕,生活服务,公厕,121.360566,31.189139,上海市,上海市,长宁区,121.35595819500928,31.191041026938155,Toilet
公厕,生活服务,公厕,121.361576,31.196444,上海市,上海市,长宁区,121.3569657861911,31.19834087337934,Toilet
公厕,生活服务,公厕,121.361335,31.191443,上海市,上海市,长宁区,121.35672564042964,31.193342717366136,Toilet
上海动物园-公厕,生活服务,公厕,121.362102,31.193325,上海市,上海市,长宁区,121.3574911436152,31.19522263975862,Toilet
公厕,生活服务,公厕,121.361148,31.194808,上海市,上海市,长宁区,121.35653867685208,31.19670632401049,Toilet
公厕,生活服务,公厕,121.360007,31.196473,上海市,上海市,长宁区,121.35539955591996,31.1983722285704,Toilet
上海动物园-公共厕所,生活服务,公厕,121.359398,31.193759,上海市,上海市,长宁区,121.35479188642648,31.19566051009881,Toilet
上海植物园,交通设施,地铁,121.450396,31.14905,上海市,上海市,徐汇区,121.44581266763028,31.15098929420552,Transport
植物园,交通设施,公交站,121.450785,31.145235,上海市,上海市,徐汇区,121.44620295275864,31.147177128104172,Transport
上海植物园,交通设施,公交站,121.450681,31.143684,上海市,上海市,徐汇区,121.44609883047374,31.145626739501893,Transport
